fr,fi,aisle
pomme,omena,produce
poire,päärynä,produce
banane,banaani,produce
orange,appelsiini,produce
clémentine,klementiini,produce
mandarine,mandariini,produce
citron,sitruuna,produce
citron vert,limetti,produce
pamplemousse,greippi,produce
raisin,viinirypäle,produce
fraise,mansikka,produce
framboise,vadelma,produce
myrtille,mustikka,produce
airelle,puolukka,produce
groseille,punaherukka,produce
cassis,mustaherukka,produce
argousier,tyrni,produce
mûre,karhunvatukka,produce
cerise,kirsikka,produce
pêche,persikka,produce
nectarine,nektariini,produce
abricot,aprikoosi,produce
prune,luumu,produce
ananas,ananas,produce
mangue,mango,produce
avocat,avokado,produce
kiwi,kiivi,produce
melon,meloni,produce
pastèque,vesimeloni,produce
grenade,granaattiomena,produce
tomate,tomaatti,produce
tomate cerise,kirsikkatomaatti,produce
concombre,kurkku,produce
salade,salaatti,produce
laitue,keräsalaatti,produce
roquette,rucola,produce
épinard,pinaatti,produce
chou,kaali,produce
chou blanc,valkokaali,produce
chou rouge,punakaali,produce
chou-fleur,kukkakaali,produce
brocoli,parsakaali,produce
chou de Bruxelles,ruusukaali,produce
carotte,porkkana,produce
pomme de terre,peruna,produce
patate douce,bataatti,produce
oignon,sipuli,produce
oignon rouge,punasipuli,produce
échalote,salottisipuli,produce
ail,valkosipuli,produce
poireau,purjo,produce
céleri,lehtiselleri,produce
céleri-rave,juuriselleri,produce
navet,nauris,produce
betterave,punajuuri,produce
rutabaga,lanttu,produce
radis,retiisi,produce
courgette,kesäkurpitsa,produce
potiron,kurpitsa,produce
aubergine,munakoiso,produce
poivron,paprika,produce
piment,chili,produce
champignon de Paris,herkkusieni,produce
chanterelle,kantarelli,produce
maïs,maissi,produce
petits pois,herne,produce
haricot vert,vihreä papu,produce
gingembre,inkivääri,produce
persil,persilja,produce
basilic,basilika,produce
coriandre,korianteri,produce
aneth,tilli,produce
ciboulette,ruohosipuli,produce
menthe,minttu,produce
thym,timjami,produce
romarin,rosmariini,produce
pain,leipä,bakery
pain de seigle,ruisleipä,bakery
pain complet,täysjyväleipä,bakery
pain de mie,paahtoleipä,bakery
baguette,patonki,bakery
petit pain,sämpylä,bakery
pain plat,rieska,bakery
pain croustillant,näkkileipä,bakery
brioche à la cannelle,korvapuusti,bakery
brioche,pulla,bakery
croissant,voisarvi,bakery
tarte de Carélie,karjalanpiirakka,bakery
tortilla,tortilla,bakery
pain pita,pitaleipä,bakery
gâteau,kakku,bakery
viande hachée,jauheliha,meat
